profile_id,profile_version,node_code,parent_node_code,node_stage,node_kind,min_score,max_score,evaluation_scope,implementation_status,exclusive_group,branch_required,source_id
clingen.svcv4.public-draft,2026-07-10,NUL_PF,NUL_ROLLUP,1,intermediate,-8,10,mixed,aggregation,,false,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,NUL_INF_EVIDENCE,NUL_ROLLUP,1,intermediate,-8,8,mixed,aggregation,,false,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,SPL_PREDICTIVE,SPL_FUNCTIONAL,1,intermediate,-6,6,mixed,aggregation,,false,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,SPL_FXN_EVIDENCE,SPL_FUNCTIONAL,1,intermediate,-8,8,mixed,aggregation,,false,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,SPL_INF_EVIDENCE,SPL_INF_PASS,1,intermediate,-8,8,mixed,aggregation,,false,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,POP_ROLLUP,POP,2,intermediate,-10,0,mixed,aggregation,,false,svcv4-model-hod-workflows
clingen.svcv4.public-draft,2026-07-10,CLN_ROLLUP,CLN,2,intermediate,,,mixed,aggregation,,false,svcv4-model-hod-workflows
clingen.svcv4.public-draft,2026-07-10,LOC_ROLLUP,LOC,2,intermediate,0,4,mixed,aggregation,,false,svcv4-model-hod-workflows
clingen.svcv4.public-draft,2026-07-10,MIS_ROLLUP,MIS,2,intermediate,-8,9,mixed,aggregation,,false,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,CDS_ROLLUP,CDS,2,intermediate,-8,10,mixed,aggregation,,false,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,NUL_ROLLUP,NUL,2,intermediate,-8,10,mixed,aggregation,,false,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,SPL_FUNCTIONAL,SPL,2,intermediate,-8,9,mixed,aggregation,,false,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,SPL_INF_PASS,SPL,2,intermediate,-8,8,mixed,aggregation,,false,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,POP,HOD,3,concept,-10,0,mixed,aggregation,,false,svcv4-model-hod-workflows
clingen.svcv4.public-draft,2026-07-10,CLN,HOD,3,concept,,,mixed,aggregation,,false,svcv4-model-hod-workflows
clingen.svcv4.public-draft,2026-07-10,LOC,HOD,3,concept,0,4,mixed,aggregation,,false,svcv4-model-hod-workflows
clingen.svcv4.public-draft,2026-07-10,MIS,PFD,3,concept,-8,9,mixed,aggregation,,false,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,CDS,PFD,3,concept,-8,10,mixed,aggregation,,false,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,NUL,PFD,3,concept,-8,10,mixed,aggregation,,false,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,SPL,PFD,3,concept,-8,10,mixed,aggregation,,false,svcv4-model-pfd-workflows
clingen.svcv4.public-draft,2026-07-10,HOD,FINAL,4,category,,,mixed,aggregation,,false,svcv4-model-summary
clingen.svcv4.public-draft,2026-07-10,PFD,FINAL,4,category,,,mixed,aggregation,,false,svcv4-model-summary
clingen.svcv4.public-draft,2026-07-10,FINAL,,5,root,,,mixed,aggregation,,false,svcv4-model-summary
